Drink,Calories,Saturated Fat (g),UnSaturated Fat (g),Trans Fat (g),Carb (g),Fiber (g),Protein (g),Sodium (mg)
Cool Lime Starbucks Refresher Beverage,45,0,0,0,11,0,0,10
Strawberry Acai Starbucks Refresher Beverage,80,0,0,0,18,1,0,10
Very Berry Hibiscus Starbucks Refresher Beverage,60,0,0,0,14,1,0,10
Evolution Fresh Organic Ginger Limeade,110,0,0,0,28,0,0,5
Iced Coffee,0,0,0,0,0,0,0,0
Iced Espresso Classics - Vanilla Latte,130,1,1,0.5,21,0,5,65
Iced Espresso Classics - Caffe Mocha,140,2,0,0.5,23,0,5,90
Iced Espresso Classics - Caramel Macchiato,130,1,1.2,0.3,21,0,5,65
Shaken Sweet Tea,80,0,0,0,19,0,0,10
Tazo Bottled Berry Blossom White,60,0,0,0,15,0,0,10
Tazo Bottled Black Mango,150,0,0,0,38,0,0,15
Tazo Bottled Black with Lemon,140,0,0,0,35,0,0,10
Tazo Bottled Brambleberry,140,0,0,0,35,0,0,15
Tazo Bottled Giant Peach,150,0,0,0,37,0,0,15
Tazo Bottled Iced Passion,70,0,0,0,17,0,0,10
Tazo Bottled Lemon Ginger,120,0,0,0,31,0,0,10
Tazo Bottled Organic Black Lemonade,140,0,0,0,35,0,0,10
Tazo Bottled Organic Iced Black Tea,60,0,0,0,15,0,0,10
Tazo Bottled Organic Iced Green Tea,120,0,0,0,31,0,0,10
Tazo Bottled Plum Pomegranate,140,0,0,0,35,0,0,10
Tazo Bottled Tazoberry,150,0,0,0,38,0,0,15
Tazo Bottled White Cranberry,140,0,0,0,35,0,0,10
Teavana Shaken Iced Black Tea,30,0,0,0,8,0,0,5
Teavana Shaken Iced Black Tea Lemonade,70,0,0,0,17,0,0,0
Teavana Shaken Iced Green Tea,30,0,0,0,8,0,0,5
Teavana Shaken Iced Green Tea Lemonade,70,0,0,0,17,0,0,5
Teavana Shaken Iced Passion Tango™ Tea,30,0,0,0,8,0,0,5
Teavana Shaken Iced Passion Tango™ Tea Lemonade,90,0,0,0,24,0,0,0
Teavana Shaken Iced Peach Green Tea,60,0,0,0,15,0,0,0
Iced Espresso Classics - Vanilla Latte,130,0,1.8,0.7,21,0,5,65
Iced Espresso Classics - Caffe Mocha,140,1,1.4,0.1,23,0,5,90
Iced Espresso Classics - Caramel Macchiato,130,2,0.2,0.3,21,0,5,65
Starbucks Refreshers™ Raspberry Pomegranate,90,0,0,0,27,0,0,0
Starbucks Refreshers™ Strawberry Lemonade,90,0,0,0,27,0,0,0
Starbucks Doubleshot Protein Dark Chocolate,210,0,2,0.5,33,2,20,115
Starbucks Doubleshot Protein Vanilla,200,0.6,0.7,1.2,34,2,20,120
Starbucks Iced Coffee Caramel,60,0,0,0,13,0,1,0
Starbucks Iced Coffee Light Sweetened,50,0,0,0,11,0,1,0
Starbucks Iced Coffee Unsweetened,10,0,0,0,2,0,1,0
Tazo Bottled Berry Blossom White,60,0,0,0,15,0,0,10
Tazo Bottled Black Mango,150,0,0,0,38,0,0,15
Tazo Bottled Black with Lemon,140,0,0,0,35,0,0,10
Tazo Bottled Brambleberry,140,0,0,0,35,0,0,15
Tazo Bottled Giant Peach,150,0,0,0,37,0,0,15
Tazo Bottled Iced Passion,70,0,0,0,17,0,0,10
Tazo Bottled Lemon Ginger,120,0,0,0,31,0,0,10
Tazo Bottled Organic Black Lemonade,140,0,0,0,35,0,0,10
Tazo Bottled Organic Iced Black Tea,60,0,0,0,15,0,0,10
Tazo Bottled Organic Iced Green Tea,120,0,0,0,31,0,0,10
Tazo Bottled Plum Pomegranate,140,0,0,0,35,0,0,10
